speaker_id,name
65,Dia
66,Taufik
67,Tedi
68,"Zamira Teacher "
163,Ari
214,Dewi
215,sari Seller
216,Rizky Teacher
217,Andi
218,Intan Seller
220,Ayu
221,Rina Teacher
222,Lina Seller
223,Nina
224,Maya
225,Annisa
472,Aili
473,Alina_a
474,Alvia_meilina
475,Ando
476,Ayu
477," Teacher Betcy"
478,Christa_a
479,Cut_j
480,Dania
481,Della
482,Dwi
483,Dwi_rumi
484,Eka_a
485,Eni seller
486,Fransesco seller
487,Gina
488,Irly seller
489,Irvan
490,Lilis
491,Mely
492,Mona
493,Muhammad_iqbal
494,Teacher Nahri_s
495,Nawra
496,Neni_rizka
497,Nizarea_frey
498,Ovy
499,Paula
500,Praptiwi
501,Rihad
502,Rina seller
503,Rini_rinjani
504,Ruby
505,Ryan
506,Professor Sayid
507,Shabrina
508,Professor Sheva_david_h
509,Siti_q
510,Titin
511,Umi
512,Widha
513,Zaipan
514,Zizi
